flight_number,departure_airport,departure_time,arrival_airport,arrival_time
FL823,DXB,2024-05-10 13:51,AMS,2024-05-10 20:51
FL643,AMS,2024-05-10 08:16,HND,2024-05-10 09:16
FL393,AMS,2024-05-10 11:18,SIN,2024-05-10 17:18
FL107,SIN,2024-05-10 14:37,CPH,2024-05-10 17:37
FL502,AMS,2024-05-10 10:38,CPH,2024-05-10 13:38
FL356,DXB,2024-05-10 08:53,SIN,2024-05-10 20:53
FL982,LHR,2024-05-10 12:18,CPH,2024-05-10 13:18
FL499,DXB,2024-05-10 15:21,CDG,2024-05-10 19:21
FL262,SIN,2024-05-10 10:46,CPH,2024-05-10 19:46
FL950,SIN,2024-05-10 09:55,HND,2024-05-10 10:55
FL677,AMS,2024-05-10 11:27,CDG,2024-05-10 12:27
FL946,DXB,2024-05-10 13:18,SIN,2024-05-10 18:18
FL645,LHR,2024-05-10 07:11,CPH,2024-05-10 15:11
FL720,LAX,2024-05-10 11:19,HND,2024-05-10 19:19
FL633,AMS,2024-05-10 13:37,LAX,2024-05-10 23:37
FL807,HND,2024-05-10 06:04,LAX,2024-05-10 10:04
FL290,SIN,2024-05-10 08:54,CDG,2024-05-10 11:54
FL577,LAX,2024-05-10 13:34,FRA,2024-05-11 01:34
FL592,JFK,2024-05-10 11:53,SIN,2024-05-10 16:53
FL637,AMS,2024-05-10 09:09,CPH,2024-05-10 20:09
FL998,CPH,2024-05-10 14:06,LHR,2024-05-10 15:06
FL445,LAX,2024-05-10 14:54,HND,2024-05-10 15:54
FL845,HND,2024-05-10 11:42,DXB,2024-05-10 13:42
FL633,HND,2024-05-10 09:11,JFK,2024-05-10 18:11
FL855,SIN,2024-05-10 10:15,CDG,2024-05-10 21:15
FL506,JFK,2024-05-10 09:52,SIN,2024-05-10 16:52
FL703,LHR,2024-05-10 12:46,FRA,2024-05-10 19:46
FL162,FRA,2024-05-10 15:21,CPH,2024-05-10 19:21
FL404,AMS,2024-05-10 08:51,HND,2024-05-10 16:51
FL203,DXB,2024-05-10 12:25,CDG,2024-05-10 17:25
FL323,FRA,2024-05-10 14:47,LHR,2024-05-11 01:47
FL292,SIN,2024-05-10 10:10,LHR,2024-05-10 17:10
FL472,FRA,2024-05-10 13:16,CPH,2024-05-10 19:16
FL669,SIN,2024-05-10 09:08,JFK,2024-05-10 18:08
FL960,LHR,2024-05-10 14:59,AMS,2024-05-10 22:59
FL527,SIN,2024-05-10 08:05,CDG,2024-05-10 14:05
FL445,CPH,2024-05-10 13:34,AMS,2024-05-11 01:34
FL244,AMS,2024-05-10 11:35,LHR,2024-05-10 18:35
FL535,CPH,2024-05-10 07:24,HND,2024-05-10 18:24
FL421,HND,2024-05-10 06:15,SIN,2024-05-10 16:15
FL215,SIN,2024-05-10 11:19,AMS,2024-05-10 21:19
FL172,HND,2024-05-10 06:41,JFK,2024-05-10 11:41
FL911,DXB,2024-05-10 09:29,CPH,2024-05-10 13:29
FL346,LHR,2024-05-10 09:32,JFK,2024-05-10 15:32
FL161,CDG,2024-05-10 10:22,LHR,2024-05-10 15:22
FL445,CPH,2024-05-10 10:57,CDG,2024-05-10 18:57
FL212,DXB,2024-05-10 11:22,JFK,2024-05-10 22:22
FL351,AMS,2024-05-10 13:52,DXB,2024-05-10 19:52
FL107,JFK,2024-05-10 14:12,DXB,2024-05-10 23:12
FL453,FRA,2024-05-10 09:55,SIN,2024-05-10 17:55
FL893,LAX,2024-05-10 10:30,CDG,2024-05-10 19:30
FL747,LAX,2024-05-10 08:50,DXB,2024-05-10 20:50
FL741,CPH,2024-05-10 09:01,JFK,2024-05-10 13:01
FL479,HND,2024-05-10 14:13,DXB,2024-05-10 21:13
FL882,JFK,2024-05-10 13:32,AMS,2024-05-10 23:32
FL185,AMS,2024-05-10 13:53,CPH,2024-05-10 23:53
FL244,LHR,2024-05-10 08:17,DXB,2024-05-10 13:17
FL628,LAX,2024-05-10 12:37,JFK,2024-05-10 17:37
FL155,AMS,2024-05-10 15:29,JFK,2024-05-10 18:29
FL595,CPH,2024-05-10 13:43,SIN,2024-05-10 23:43
FL612,HND,2024-05-10 15:22,CPH,2024-05-10 20:22
FL357,SIN,2024-05-10 12:38,JFK,2024-05-11 00:38
FL733,LAX,2024-05-10 06:44,CPH,2024-05-10 18:44
FL978,JFK,2024-05-10 12:54,AMS,2024-05-10 19:54
FL192,HND,2024-05-10 11:53,SIN,2024-05-10 20:53
FL881,CDG,2024-05-10 07:00,LHR,2024-05-10 13:00
FL700,CDG,2024-05-10 12:39,AMS,2024-05-10 22:39
FL212,JFK,2024-05-10 13:18,SIN,2024-05-11 00:18
FL867,LAX,2024-05-10 14:58,JFK,2024-05-11 00:58
FL834,LHR,2024-05-10 08:57,LAX,2024-05-10 19:57
FL774,JFK,2024-05-10 14:58,DXB,2024-05-10 23:58
FL136,JFK,2024-05-10 08:03,SIN,2024-05-10 14:03
FL612,SIN,2024-05-10 10:47,LHR,2024-05-10 16:47
FL453,DXB,2024-05-10 06:24,HND,2024-05-10 17:24
XX100,AMS,2024-07-11 04:07,BKK,2024-07-11 16:24
XX101,AMS,2024-08-01 02:25,CDG,2024-08-01 14:30
XX102,AMS,2024-07-16 23:56,CPH,2024-07-17 06:34
XX103,AMS,2024-07-14 04:19,CTS,2024-07-14 11:08
XX104,AMS,2024-07-08 01:16,DEL,2024-07-08 11:56
XX105,AMS,2024-07-16 05:30,DXB,2024-07-16 18:00
XX106,AMS,2024-07-24 03:31,FRA,2024-07-24 12:17
XX107,AMS,2024-07-17 16:05,HKG,2024-07-18 00:58
XX108,AMS,2024-07-08 15:24,HND,2024-07-09 05:03
XX109,AMS,2024-07-04 09:12,ICN,2024-07-04 20:15
XX110,AMS,2024-07-13 11:19,JFK,2024-07-13 21:57
XX111,AMS,2024-07-29 22:30,KIX,2024-07-30 10:21
XX112,AMS,2024-07-04 08:05,KUL,2024-07-04 20:46
XX113,AMS,2024-07-28 16:57,LAX,2024-07-29 03:35
XX114,AMS,2024-07-29 12:10,LHR,2024-07-29 19:34
XX115,AMS,2024-07-19 10:33,NRT,2024-07-19 22:14
XX116,AMS,2024-07-08 21:54,PEK,2024-07-09 08:52
XX117,AMS,2024-07-22 23:05,PVG,2024-07-23 12:44
XX118,AMS,2024-07-03 19:55,SIN,2024-07-04 04:19
XX119,BKK,2024-07-05 22:26,AMS,2024-07-06 05:06
XX120,BKK,2024-07-04 23:00,CDG,2024-07-05 07:43
XX121,BKK,2024-07-17 03:31,CPH,2024-07-17 12:14
XX122,BKK,2024-07-16 02:45,CTS,2024-07-16 09:44
XX123,BKK,2024-07-26 11:50,DEL,2024-07-26 21:26
XX124,BKK,2024-07-31 06:16,DXB,2024-07-31 17:52
XX125,BKK,2024-07-31 00:51,FRA,2024-07-31 10:36
XX126,BKK,2024-07-14 09:20,HKG,2024-07-14 19:44
XX127,BKK,2024-07-13 10:42,HND,2024-07-13 23:49
XX128,BKK,2024-07-03 15:32,ICN,2024-07-03 23:07
XX129,BKK,2024-07-04 04:36,JFK,2024-07-04 17:25
XX130,BKK,2024-07-09 10:11,KIX,2024-07-09 18:09
XX131,BKK,2024-07-09 11:53,KUL,2024-07-09 21:28
XX132,BKK,2024-07-20 00:13,LAX,2024-07-20 09:19
XX133,BKK,2024-07-11 15:52,LHR,2024-07-12 04:05
XX134,BKK,2024-07-26 07:56,NRT,2024-07-26 17:28
XX135,BKK,2024-07-20 05:11,PEK,2024-07-20 18:11
XX136,BKK,2024-07-11 00:43,PVG,2024-07-11 07:16
XX137,BKK,2024-07-23 10:43,SIN,2024-07-23 21:14
XX138,CDG,2024-07-30 00:05,AMS,2024-07-30 10:20
XX139,CDG,2024-07-23 13:52,BKK,2024-07-24 02:13
XX140,CDG,2024-07-30 11:48,CPH,2024-07-30 22:30
XX141,CDG,2024-07-12 00:25,CTS,2024-07-12 14:07
XX142,CDG,2024-07-30 05:30,DEL,2024-07-30 16:55
XX143,CDG,2024-07-01 10:18,DXB,2024-07-01 17:25
XX144,CDG,2024-07-09 20:48,FRA,2024-07-10 08:07
XX145,CDG,2024-07-13 07:12,HKG,2024-07-13 16:57
XX146,CDG,2024-07-17 22:29,HND,2024-07-18 12:07
XX147,CDG,2024-07-15 21:17,ICN,2024-07-16 07:16
XX148,CDG,2024-07-04 02:02,JFK,2024-07-04 12:43
XX149,CDG,2024-07-14 07:43,KIX,2024-07-14 14:59
XX150,CDG,2024-07-23 01:21,KUL,2024-07-23 11:53
XX151,CDG,2024-07-14 08:43,LAX,2024-07-14 21:46
XX152,CDG,2024-07-30 09:35,LHR,2024-07-30 19:37
XX153,CDG,2024-07-04 07:11,NRT,2024-07-04 20:17
XX154,CDG,2024-07-06 05:11,PEK,2024-07-06 15:04
XX155,CDG,2024-07-13 05:01,PVG,2024-07-13 16:47
XX156,CDG,2024-07-20 04:46,SIN,2024-07-20 16:51
XX157,CPH,2024-07-12 05:36,AMS,2024-07-12 13:53
XX158,CPH,2024-07-11 11:33,BKK,2024-07-11 21:30
XX159,CPH,2024-07-14 03:04,CDG,2024-07-14 11:03
XX160,CPH,2024-07-17 01:52,CTS,2024-07-17 09:32
XX161,CPH,2024-07-30 23:43,DEL,2024-07-31 09:19
XX162,CPH,2024-07-18 01:33,DXB,2024-07-18 07:40
XX163,CPH,2024-07-28 14:24,FRA,2024-07-29 02:06
XX164,CPH,2024-07-09 06:04,HKG,2024-07-09 15:42
XX165,CPH,2024-07-02 15:19,HND,2024-07-03 03:16
XX166,CPH,2024-07-26 15:53,ICN,2024-07-27 03:14
XX167,CPH,2024-07-02 15:34,JFK,2024-07-03 04:55
XX168,CPH,2024-07-06 06:46,KIX,2024-07-06 17:04
XX169,CPH,2024-07-02 12:26,KUL,2024-07-02 18:55
XX170,CPH,2024-07-07 13:37,LAX,2024-07-07 21:13
XX171,CPH,2024-07-06 23:22,LHR,2024-07-07 11:18
XX172,CPH,2024-07-16 12:58,NRT,2024-07-17 00:01
XX173,CPH,2024-07-17 19:47,PEK,2024-07-18 06:23
XX174,CPH,2024-07-10 08:18,PVG,2024-07-10 22:07
XX175,CPH,2024-07-25 16:44,SIN,2024-07-26 05:29
XX176,CTS,2024-07-12 14:36,AMS,2024-07-13 03:32
XX177,CTS,2024-07-13 01:13,BKK,2024-07-13 09:22
XX178,CTS,2024-07-06 00:12,CDG,2024-07-06 08:40
XX179,CTS,2024-07-12 19:05,CPH,2024-07-13 07:40
XX180,CTS,2024-07-21 01:10,DEL,2024-07-21 15:02
XX181,CTS,2024-07-31 06:49,DXB,2024-07-31 19:33
XX182,CTS,2024-07-12 18:32,FRA,2024-07-13 01:53
XX183,CTS,2024-07-26 17:16,HKG,2024-07-27 06:01
XX184,CTS,2024-07-26 15:08,HND,2024-07-26 21:09
XX185,CTS,2024-07-13 04:29,ICN,2024-07-13 16:02
XX186,CTS,2024-07-19 01:46,JFK,2024-07-19 08:54
XX187,CTS,2024-07-25 04:00,KIX,2024-07-25 17:36
XX188,CTS,2024-07-22 00:52,KUL,2024-07-22 13:27
XX189,CTS,2024-07-09 16:13,LAX,2024-07-10 03:52
XX190,CTS,2024-07-12 03:31,LHR,2024-07-12 14:07
XX191,CTS,2024-07-18 16:32,NRT,2024-07-19 04:12
XX192,CTS,2024-07-17 01:32,PEK,2024-07-17 11:55
XX193,CTS,2024-07-15 20:50,PVG,2024-07-16 03:41
XX194,CTS,2024-07-22 02:00,SIN,2024-07-22 15:53
XX195,DEL,2024-07-10 23:56,AMS,2024-07-11 11:20
XX196,DEL,2024-07-25 23:29,BKK,2024-07-26 10:52
XX197,DEL,2024-07-22 06:17,CDG,2024-07-22 19:49
XX198,DEL,2024-07-26 18:06,CPH,2024-07-27 01:18
XX199,DEL,2024-07-05 10:14,CTS,2024-07-05 17:11
XX200,DEL,2024-07-17 11:29,DXB,2024-07-18 00:43
XX201,DEL,2024-07-01 08:52,FRA,2024-07-01 17:09
XX202,DEL,2024-07-09 00:52,HKG,2024-07-09 14:04
XX203,DEL,2024-07-27 12:24,HND,2024-07-27 20:22
XX204,DEL,2024-07-08 07:08,ICN,2024-07-08 19:16
XX205,DEL,2024-07-29 14:01,JFK,2024-07-29 21:20
XX206,DEL,2024-07-02 11:05,KIX,2024-07-02 23:06
XX207,DEL,2024-07-06 12:42,KUL,2024-07-06 20:08
XX208,DEL,2024-07-23 22:02,LAX,2024-07-24 06:14
XX209,DEL,2024-07-25 19:18,LHR,2024-07-26 03:16
XX210,DEL,2024-08-01 01:35,NRT,2024-08-01 09:34
